Empresa;Ano;Asiento;ItemAsiento;Cuenta;LeyendaItem;Debe;Haber
1;2020;765;3;11110288;LA ESTRELLA 4/20 TRANSF;NULL;46280.39
1;2020;933;3;82081900;LA ESTRELLA 5/20;NULL;0.16
1;2020;269;3;85085730;LA ESTRELLA 1/20;0.01;NULL
1;2020;61;3;82081900;LA ESTRELLA 12/19;NULL;0.01
1;2020;758;1;21323322;INACAP 5/20;7092.06;NULL
1;2020;758;2;11110288;INACAP 5/20;NULL;7092.06
1;2020;758;3;21424000;SICORE 5/20;3517.25;NULL
1;2020;758;4;11110288;SICORE 5/20;NULL;3517.25
1;2020;758;5;50044500;MUNICIPIO LANUS;15175.74;NULL
1;2020;758;6;11110288;MUNICIPIO LANUS;NULL;15175.74
1;2020;758;7;21323131;FAECYS 4/20;7181.44;NULL
1;2020;758;8;11110288;FAECYS 4/20;NULL;7181.44
1;2020;758;9;50040050;OSDE GUTIERREZ 4/20;19300.00;NULL
1;2020;758;10;11110288;OSDE GUTIERREZ 4/20;NULL;19300.00
1;2020;491;4;85085720;RENTAS CABA 2/20;12.57;NULL
1;2020;1506;1;60055100;GS RESUMEN MACRO ENERO/2020;1302.03;NULL
1;2020;1506;2;60055100;IVA RESUMEN MACRO ENERO/2020;273.43;NULL
1;2020;1624;1;50044100;PAGO PATENTES;3685.37;NULL
1;2020;1582;1;21122100;AYSA;726.65;NULL
1;2020;1582;2;21122100;AYSA;726.65;NULL
1;2020;1582;3;11110288;AYSA;NULL;726.65
1;2020;1582;4;11110288;AYSA;NULL;726.65
1;2020;1583;1;21428513;ARBA-RETENCIONES;10693.80;NULL
1;2020;1583;2;11110288;ARBA-RETENCIONES;NULL;10693.80
1;2020;156;3;21122100;EDESUR F103060705;NULL;562.30
1;2020;156;4;60050400;EDESUR F103060707;12469.56;NULL
1;2020;156;5;21424102;EDESUR F103060707;3164.77;NULL
1;2020;156;6;11513752;EDESUR F103060707;351.64;NULL
1;2020;156;7;21122100;EDESUR F103060707;NULL;15985.97
1;2020;373;1;60052360;ADM ERRANTI;25706.50;NULL
1;2020;1506;3;80070200;GS RESUMEN MACRO ENERO/2020;51224.30;NULL
1;2020;1506;4;11513791;GS RESUMEN MACRO ENERO/2020;25229.88;NULL
1;2020;1506;5;60055100;IIBB RESUMEN MACRO ENERO/2020;12.00;NULL
1;2020;1514;1;21424101;IVA ENERO/2020;4728253.31;NULL
1;2020;1514;2;11514020;IVA ENERO/2020;629489.92;NULL
1;2020;1;2;11110288;MUNICIP DE LOBOS CTA 5 TRANSF;NULL;7030.69
1;2020;2;1;21122100;METROGAS F700341955 OP7811;1890.84;NULL
1;2020;2;2;11110288;METROGAS F700341955 OP7811 TRA;NULL;1890.84
1;2020;3;1;21529561;AUTONOMOS 12/19 GB;11482.68;NULL
1;2020;3;2;21529562;AUTONOMOS 12/19 MSB;11482.68;NULL
1;2020;3;3;21529500;AUTONOMOS 12/19 JLB;2201.93;NULL
1;2020;3;4;21529530;AUTONOMOS 12/19 EPB;2201.93;NULL
1;2020;3;5;21529563;AUTONOMOS 12/19 EB;11482.68;NULL
1;2020;3;6;11110288;AUTONOMOS 12/19 GB TRANSF;NULL;11482.68
1;2020;3;7;11110288;AUTONOMOS 12/19 MSB TRANSF;NULL;11482.68
1;2020;3;8;11110288;AUTONOMOS 12/19 JLB TRANSF;NULL;2201.93
1;2020;3;9;11110288;AUTONOMOS 12/19 EPB TRANSF;NULL;2201.93
1;2020;3;10;11110288;AUTONOMOS 12/19 EB TRANSF;NULL;11482.68
1;2020;4;1;21122100;TOMASGO F758 OP7809;6243.18;NULL
1;2020;4;2;11110320;TOMASGO F758 OP7809;NULL;6000.00
1;2020;4;3;11110100;TOMASGO F758 OP7809;NULL;217.74
1;2020;4;4;21428513;TOMASGO F758 OP7809;NULL;25.44
1;2020;5;1;11110288;DEPOSITO CREDICOOP;48945.68;NULL
1;2020;5;2;11110288;DEPOSITO CREDICOOP;40525.00;NULL
1;2020;5;3;11110288;DEPOSITO CREDICOOP;61860.00;NULL
1;2020;5;4;11110288;DEPOSITO CREDICOOP;52128.00;NULL
1;2020;5;5;11110288;DEPOSITO CREDICOOP;78801.00;NULL
1;2020;5;6;11110288;DEPOSITO CREDICOOP;161713.00;NULL
1;2020;5;7;11110288;DEPOSITO CREDICOOP;74830.93;NULL
1;2020;5;8;11110288;DEPOSITO CREDICOOP;174996.00;NULL
1;2020;5;9;11110288;DEPOSITO CREDICOOP;335227.40;NULL
1;2020;5;10;11110288;DEPOSITO CREDICOOP;296306.40;NULL
1;2020;156;8;60050400;EDESUR F103060706;5159.35;NULL
1;2020;156;9;21424102;EDESUR F103060706;1309.44;NULL
1;2020;1584;1;60055100;GS RESUMEN CIUDAD ENERO/2020;1061.00;NULL
1;2020;1584;2;60055100;GS RESUMEN CIUDAD ENERO/2020;222.81;NULL
1;2020;1584;3;80070200;GS RESUMEN CIUDAD ENERO/2020;7.76;NULL
1;2020;1584;4;60055100;GS RESUMEN CIUDAD ENERO/2020;10.61;NULL
1;2020;1584;5;11110291;GS RESUMEN CIUDAD ENERO/2020;NULL;1302.18
1;2020;1585;1;60055100;GS RESUMEN CIUDAD FEBRERO/2020;1061.00;NULL
1;2020;1585;2;60055100;GS RESUMEN CIUDAD FEBRERO/2020;222.81;NULL
1;2020;1585;3;80070200;GS RESUMEN CIUDAD FEBRERO/2020;7.76;NULL
1;2020;1585;4;60055100;GS RESUMEN CIUDAD FEBRERO/2020;10.61;NULL
1;2020;1585;5;11110291;GS RESUMEN CIUDAD FEBRERO/2020;NULL;1302.18
1;2020;1586;1;60055100;GS RESUMEN CIUDAD MARZO/2020;1061.00;NULL
1;2020;1586;2;60055100;GS RESUMEN CIUDAD MARZO/2020;222.81;NULL
1;2020;1586;3;80070200;GS RESUMEN CIUDAD MARZO/2020;7.76;NULL
1;2020;1586;4;60055100;GS RESUMEN CIUDAD MARZO/2020;10.61;NULL
1;2020;1586;5;11110291;GS RESUMEN CIUDAD MARZO/2020;NULL;1302.18
1;2020;165;1;11110288;DEPOSITO CREDICOOP;138148.87;NULL
1;2020;165;2;11110288;DEPOSITO CREDICOOP;540727.49;NULL
1;2020;165;3;11110288;DEPOSITO CREDICOOP;300000.00;NULL
1;2020;165;4;11110287;DEPOSITO MACRO;63341.40;NULL
1;2020;165;5;11110320;DEPOSITO CREDICOOP;NULL;138148.87
1;2020;165;6;11110320;DEPOSITO CREDICOOP;NULL;540727.49
1;2020;1527;2;11311810;MACRO CHEQ.RECH.RICOLTEX/IG-TE;42230.00;NULL
1;2020;1527;3;11110287;MACRO CHEQ.RECH.RICOLTEX/IG-TE;NULL;7500.00
1;2020;1527;4;11110287;MACRO CHEQ.RECH.RICOLTEX/IG-TE;NULL;42230.00
1;2020;670;1;11110288;DEPOSITO CREDICOOP;177573.47;NULL
1;2020;670;2;11110288;DEPOSITO CREDICOOP;52350.00;NULL
1;2020;670;3;11110288;DEPOSITO CREDICOOP;38372.00;NULL
1;2020;670;4;11110287;DEPOSITO MACRO;937090.86;NULL
1;2020;1530;1;11311810;MACRO CHQ.RECHAZADO LAV.BS.AS.;52003.42;NULL
1;2020;1530;2;11311810;MACRO CHQ.RECHAZADO LAV.BS.AS.;45000.00;NULL
1;2020;1530;3;11110287;MACRO CHQ.RECHAZADO LAV.BS.AS.;NULL;52003.42
1;2020;1530;4;11110287;MACRO CHQ.RECHAZADO LAV.BS.AS.;NULL;45000.00
1;2020;1531;1;11110288;COBRO CHEQ.RECHAZADO LAV.BS.AS;52003.42;NULL
1;2020;670;5;11110287;DEPOSITO MACRO;50000.00;NULL
1;2020;1153;4;11311500;TIKVATEX SA R.37929;NULL;216238.91
1;2020;1153;5;21428511;COTEMINAS ARG. R.37930;2401.07;NULL
1;2020;1153;6;11110288;COTEMINAS ARG. R.37930;325155.81;NULL
1;2020;1153;7;11514050;COTEMINAS ARG. R.37930;855.70;NULL
1;2020;1153;8;11311500;COTEMINAS ARG. R.37930;NULL;328412.58
1;2020;471;2;21424102;IMPO #411 DESPACHO;15161.79;NULL
1;2020;471;3;11513752;IMPO #411 DESPACHO;791.91;NULL
1;2020;471;4;21428501;IMPO #411 DESPACHO;223.65;NULL
1;2020;471;5;21122160;IMPO #411 DESPACHO;NULL;140852.86
1;2020;1154;1;11110320;COBRO CHEQ.RECH. TIKVATEX SA;808374.20;NULL
1;2020;1154;2;11311810;COBRO CHEQ.RECH. TIKVATEX SA;NULL;50000.00
1;2020;1;1;50044500;MUNICIPALIDAD DE LOBOS CTA 5;7030.69;NULL
1;2020;5;11;11110288;DEPOSITO CREDICOOP;938682.64;NULL
1;2020;30;6;11110320;DEPOSITO CREDICOOP;NULL;207166.00
1;2020;44;1;60052200;BA EXPERTS F5548 ;2331.40;NULL
1;2020;44;3;21122100;BA EXPERTS F5548 ;NULL;2821.00
1;2020;44;5;11110100;BA EXPERTS F5548 OP7835;NULL;2820.99
1;2020;45;2;11110288;ARBA PERCEPCIONES 12/19 TRANSF;NULL;266237.10
1;2020;46;2;11110288;ARBA RETENCIONES 12/19 TRANSF;NULL;7179.30
1;2020;47;2;11110288;TESYS F11888 OP7836 TRANSF;NULL;2900.10
1;2020;47;4;21428517;TESYS F11888 OP7836;NULL;75.00
1;2020;51;1;11110288;DEPOSITO CREDICOOP;5897.49;NULL
1;2020;51;2;11110288;DEPOSITO CREDICOOP;8000.00;NULL
1;2020;51;3;11110288;DEPOSITO CREDICOOP;125513.93;NULL
1;2020;51;4;11110320;DEPOSITO CREDICOOP;NULL;5897.49
1;2020;51;5;11110320;DEPOSITO CREDICOOP;NULL;8000.00
1;2020;51;6;11110320;DEPOSITO CREDICOOP;NULL;125513.93
1;2020;5;12;11110288;DEPOSITO CREDICOOP;49224.03;NULL
1;2020;5;13;11110320;DEPOSITO CREDICOOP;NULL;48945.68
1;2020;5;14;11110320;DEPOSITO CREDICOOP;NULL;40525.00
1;2020;5;15;11110320;DEPOSITO CREDICOOP;NULL;61860.00
1;2020;5;16;11110320;DEPOSITO CREDICOOP;NULL;52128.00
1;2020;5;17;11110320;DEPOSITO CREDICOOP;NULL;78801.00
1;2020;5;18;11110320;DEPOSITO CREDICOOP;NULL;161713.00
1;2020;5;19;11110320;DEPOSITO CREDICOOP;NULL;74830.93
1;2020;5;20;11110320;DEPOSITO CREDICOOP;NULL;174996.00
1;2020;5;21;11110320;DEPOSITO CREDICOOP;NULL;335227.40
1;2020;5;22;11110320;DEPOSITO CREDICOOP;NULL;296306.40
1;2020;5;23;11110320;DEPOSITO CREDICOOP;NULL;938682.64
1;2020;5;24;11110320;DEPOSITO CREDICOOP;NULL;49224.03
1;2020;14;1;21122100;VARTECO F38710 OP7812;104654.59;NULL
1;2020;14;2;21122100;VARTECO F38710 OP7812;8.13;NULL
1;2020;14;3;11110320;VARTECO F38710 OP7812;NULL;103900.67
1;2020;14;4;21428513;VARTECO F38710 OP7812;NULL;762.05
1;2020;74;1;50044500;LANUS MUNICIPIO;11865.24;NULL
1;2020;74;2;11110288;LANUS MUNICIPIO CH5712;NULL;11865.24
1;2020;75;1;50040610;GS DAMIAN: URQUIOLA F952;593.43;NULL
1;2020;75;2;21424102;GS DAMIAN: URQUIOLA F952;124.62;NULL
1;2020;75;3;21122100;GS DAMIAN: URQUIOLA F952;NULL;718.05
1;2020;76;1;11110288;DEPOSITO CREDICOOP;160000.00;NULL
1;2020;76;2;11110100;DEPOSITO CREDICOOP;NULL;160000.00
1;2020;77;1;21122100;OSDE F55072 OP7846;92003.02;NULL
1;2020;77;2;11110288;OSDE F55072 OP7846 TRANSF;NULL;92003.02
1;2020;78;1;11110320;DAJCZ MAXI R.37554;10000.00;NULL
1;2020;78;2;11110100;DAJCZ MAXI R.37554;890.00;NULL
1;2020;78;3;11311500;DAJCZ MAXI R.37554;NULL;10890.00
1;2020;78;4;11110320;SEDAMIL SA.. R.37555;46158.00;NULL
1;2020;78;5;11110100;SEDAMIL SA.. R.37555;984.00;NULL
1;2020;78;6;21428511;SEDAMIL SA.. R.37555;339.15;NULL
1;2020;78;7;11311500;SEDAMIL SA.. R.37555;NULL;47481.15
1;2020;79;1;11110320;TIKVATEX SA R.37556;639589.22;NULL
1;2020;6;1;60053400;REG AUTOMOTOR FORMULARIOS;3317.00;NULL
1;2020;6;2;11110100;REG AUTOMOTOR FORMULARIOS;NULL;3317.00
1;2020;7;1;60053400;REG DE PREC QCOS F17194 ;2000.00;NULL
1;2020;7;2;21122100;REG DE PREC QCOS F17194 ;NULL;2000.00
1;2020;7;3;21122100;REG DE PREC QCOS F17194 OP7818;2000.00;NULL
1;2020;7;4;11110100;REG DE PREC QCOS F17194 OP7818;NULL;2000.00
1;2020;8;1;21122100;LA HIGIENE F414 OP7817;2783.00;NULL
1;2020;8;2;11110288;LA HIGIENE F414 OP7817 TRANSF;NULL;2645.10
1;2020;8;3;21428517;LA HIGIENE F414 OP7817;NULL;92.00
1;2020;8;4;21428513;LA HIGIENE F414 OP7817;NULL;45.90
1;2020;9;1;21122100;NEUMAT DE SANTO F22834 OP7813;15222.01;NULL
1;2020;9;2;11110320;NEUMAT DE SANTO F22834 OP7813;NULL;14610.00
1;2020;9;3;11110100;NEUMAT DE SANTO F22834 OP7813;NULL;297.63
1;2020;9;4;21428513;NEUMAT DE SANTO F22834 OP7813;NULL;314.38
1;2020;10;1;21122100;SODA LA BUENA ESP 13287 OP7814;5150.06;NULL
1;2020;10;2;11110320;SODA LA BUENA ESP 13287 OP7814;NULL;5030.00
1;2020;10;3;11110100;SODA LA BUENA ESP 13287 OP7814;NULL;45.66
1;2020;10;4;21428513;SODA LA BUENA ESP 13287 OP7814;NULL;74.40
1;2020;11;1;21122100;RICCIARDI F488 OP7815;6797.20;NULL
1;2020;11;2;11110100;RICCIARDI F488 OP7815;NULL;6797.20
1;2020;12;1;21122100;CRILEN F33343 OP7810;152484.96;NULL
1;2020;12;2;11110320;CRILEN F33343 OP7810;NULL;151510.00
1;2020;12;3;11110100;CRILEN F33343 OP7810;NULL;104.33
1;2020;12;4;21428513;CRILEN F33343 OP7810;NULL;870.63
1;2020;13;1;21122100;INDIOQUIMICA F24536 OP7808;68485.65;NULL
1;2020;13;2;11110320;INDIOQUIMICA F24536 OP7808;NULL;67959.00
1;2020;13;3;11110100;INDIOQUIMICA F24536 OP7808;NULL;106.32
1;2020;13;4;21428513;INDIOQUIMICA F24536 OP7808;NULL;420.33
1;2020;15;1;21122100;TELECOM F3371713 OP7822;7875.00;NULL
1;2020;15;2;11110288;TELECOM F3371713 OP7822 TRANSF;NULL;7875.00
1;2020;16;1;21122100;AGUA Y SAN 10603934261 OP7821;712.99;NULL
1;2020;16;2;21122100;AGUA Y SAN 10603934267 OP7821;658.41;NULL
1;2020;16;3;21122100;AGUA Y SAN 10603934274 OP7821;658.41;NULL
1;2020;16;4;11110288;AGUA Y SAN 10603934261 OP7821;NULL;712.99
1;2020;16;5;11110288;AGUA Y SAN 10603934267 OP7821;NULL;658.41
1;2020;16;6;11110288;AGUA Y SAN 10603934274 OP7821;NULL;658.41
1;2020;17;1;21428516;RENTAS CABA PERCEPCIONES;251298.08;NULL
1;2020;17;2;21428517;RENTAS CABA RETENCIONES;107.02;NULL
1;2020;17;3;11110288;RENTAS CABA TRANSF;NULL;251424.70
1;2020;18;1;21122100;REP GS ERNESTO BENADUSI;4746.17;NULL
1;2020;18;2;11110100;REP GS ERNESTO BENADUSI;NULL;4746.17
1;2020;19;1;21122100;REP GS JLB;1360.00;NULL
1;2020;19;2;11110100;REP GS JLB;NULL;1360.00
1;2020;20;1;21122100;REPOSICION GS EB;550.00;NULL
1;2020;20;2;11110100;REPOSICION GS EB;NULL;550.00
1;2020;21;1;21122100;REPOSICION GS LOBOS;7859.38;NULL
1;2020;21;2;11110100;REPOSICION GS LOBOS;NULL;7859.38
1;2020;22;1;50044510;MUNICIPALIDAD LOBOS 11/19;8692.00;NULL
1;2020;22;2;11110288;MUNICIPALIDAD LOBOS 11/19 TRAN;NULL;8692.00
1;2020;23;1;21122100;TELEFONICA F120191209 OP7823;11925.92;NULL
1;2020;23;2;85085730;TELEFONICA F120191209 OP7823;0.08;NULL
1;2020;23;3;11110288;TELEF F120191209 OP7823 TRANSF;NULL;11926.00
1;2020;24;1;21122100;AGUA Y SAN 10603934275 OP7824;699.37;NULL
1;2020;24;2;21122100;AGUA Y SAN 10603934270 OP7824;904.07;NULL
1;2020;24;3;21122100;AGUA Y SAN 10603934262 OP7824;904.07;NULL
1;2020;24;4;21122100;AGUA Y SAN 10603925833 OP7824;2416.21;NULL
1;2020;24;5;21122100;AGUA Y SAN 10603934269 OP7824;699.37;NULL
1;2020;24;6;11110288;AGUA Y SAN 10603934275 OP7824;NULL;699.37
1;2020;24;7;11110288;AGUA Y SAN 10603934270 OP7824;NULL;904.07
1;2020;24;8;11110288;AGUA Y SAN 10603934262 OP7824;NULL;904.07
1;2020;24;9;11110288;AGUA Y SAN 10603925833 OP7824;NULL;2416.21
1;2020;24;10;11110288;AGUA Y SAN 10603934269 OP7824;NULL;699.37
1;2020;25;1;11311810;CREDICOOP CHEQ.RECH.P.RIES;50000.00;NULL
1;2020;25;2;11110288;CREDICOOP CHEQ.RECH.P.RIES;NULL;50000.00
1;2020;25;3;11311810;CREDICOOP CHEQ.RECH.TIMPOL;57201.37;NULL
1;2020;25;4;11110288;CREDICOOP CHEQ.RECH.TIMPOL;NULL;57201.37
1;2020;25;5;11311810;CREDICOOP CHEQ.RECH.ZOBERMAN;35000.00;NULL
1;2020;25;6;11110288;CREDICOOP CHEQ.RECH.ZOBERMAN;NULL;35000.00
1;2020;25;7;11311810;CREDICOOP CHEQ.RECH.TIKVATEX;40750.00;NULL
1;2020;25;8;11110288;CREDICOOP CHEQ.RECH.TIKVATEX;NULL;40750.00
1;2020;26;1;11110320;COBRO CHEQ.RECH. TIMPOL SRL;16450.00;NULL
1;2020;26;2;11110100;COBRO CHEQ.RECH. TIMPOL SRL;86.28;NULL
1;2020;26;3;11311810;COBRO CHEQ.RECH. TIMPOL SRL;NULL;16536.28
1;2020;27;1;11311810;CREDICOOP CHEQ.RECH.LZOBERMAN;40000.00;NULL
1;2020;27;2;11311810;CREDICOOP CHEQ.RECH. TIAP;40000.00;NULL
1;2020;27;3;11110288;CREDICOOP CHEQ.RECH.LZOBERMAN;NULL;40000.00
1;2020;27;4;11110288;CREDICOOP CHEQ.RECH. TIAP;NULL;40000.00
1;2020;28;1;11110320;COBRO CHEQ.RECH. PABLO RIES;50000.00;NULL
1;2020;28;2;11311810;COBRO CHEQ.RECH. PABLO RIES;NULL;50000.00
1;2020;29;1;11311810;CREDICOOP CHEQ.RECH. MANGONE;12000.00;NULL
1;2020;29;2;11110288;CREDICOOP CHEQ.RECH. MANGONE;NULL;12000.00
1;2020;30;1;11110288;DEPOSITO CREDICOOP;294263.61;NULL
1;2020;30;2;11110288;DEPOSITO CREDICOOP;478268.54;NULL
1;2020;30;3;11110288;DEPOSITO CREDICOOP;207166.00;NULL
1;2020;30;4;11110320;DEPOSITO CREDICOOP;NULL;294263.61
1;2020;30;5;11110320;DEPOSITO CREDICOOP;NULL;478268.54
1;2020;31;2;11110288;DEPOSITO CREDICOOP;235384.60;NULL
1;2020;31;3;11110288;DEPOSITO CREDICOOP;162280.93;NULL
1;2020;31;4;11110288;DEPOSITO CREDICOOP;42710.24;NULL
1;2020;31;5;11110288;DEPOSITO CREDICOOP;92701.68;NULL
1;2020;31;6;11110320;DEPOSITO CREDICOOP;NULL;74350.00
1;2020;31;7;11110320;DEPOSITO CREDICOOP;NULL;235384.60
1;2020;31;8;11110320;DEPOSITO CREDICOOP;NULL;162280.93
1;2020;31;9;11110320;DEPOSITO CREDICOOP;NULL;42710.24
1;2020;31;10;11110320;DEPOSITO CREDICOOP;NULL;92701.68
1;2020;1623;2;11110288;PAGO A R.GONZALEZ;NULL;170000.00
1;2020;467;3;11110287;DEPOSITO MACRO;20000.00;NULL
1;2020;467;4;11110320;DEPOSITO MACRO;NULL;20000.00
1;2020;594;1;11110288;DEPOSITO CREDICOOP;175918.33;NULL
1;2020;594;2;11110288;DEPOSITO CREDICOOP;217250.00;NULL
1;2020;594;3;11110288;DEPOSITO CREDICOOP;488735.28;NULL
1;2020;594;4;11110288;DEPOSITO CREDICOOP;336000.00;NULL
1;2020;33;1;50044500;MUNICIPIO LANUS TSG;7910.00;NULL
1;2020;33;2;11110288;MUNICIPIO LANUS TSG TRANSF;NULL;7910.00
1;2020;34;1;21424000;SICORE 12/19;146700.58;NULL
1;2020;34;2;11110288;SICORE 12/19 TRANSF;NULL;146700.58
1;2020;35;1;21122100;CARFA F204 OP7827;2800.00;NULL
1;2020;35;2;21122100;CARFA F229 OP7827;2800.00;NULL
1;2020;35;3;11110288;CARFA F204/ 229 OP7827 TRANSF;NULL;5600.00
1;2020;36;1;21122100;METROGAS F100622730 OP7826;1334.08;NULL
1;2020;36;2;11110288;METROGAS F100622730 OP7826 TRA;NULL;1334.08
1;2020;37;1;21122100;AGUA Y SAN 10603934271 OP7825;672.07;NULL
1;2020;37;2;21122100;AGUA Y SAN 10603934263 OP7825;672.07;NULL
1;2020;37;3;11110288;AGUA Y SANEAMIENTO OP7825 TRAN;NULL;672.07
1;2020;37;4;11110288;AGUA Y SANEAMIENTO OP7825 TRAN;NULL;672.07
1;2020;38;1;21323131;FAECYS 12/19 ;11883.03;NULL
1;2020;38;2;11110288;FAECYS 12/19 TRANSF;NULL;11883.00
1;2020;39;1;21323100;CARGAS SOCIALES Y SDOS 12/19;387468.22;NULL
1;2020;39;2;21323200;CARGAS SOCIALES Y SDOS 12/19;328451.61;NULL
1;2020;39;3;21323101;CARGAS SOCIALES Y SDOS 12/19;101385.32;NULL
1;2020;39;4;21323210;CARGAS SOCIALES Y SDOS 12/19;46384.56;NULL
1;2020;39;5;21323140;CARGAS SOCIALES Y SDOS 12/19;59504.76;NULL
1;2020;39;6;21323184;CARGAS SOCIALES Y SDOS 12/19;2100.00;NULL
1;2020;39;7;21323240;CARGAS SOCIALES Y SDOS 12/19;117248.62;NULL
1;2020;39;8;21323150;CARGAS SOCIALES Y SDOS 12/19;24637.85;NULL
1;2020;39;9;21323250;CARGAS SOCIALES Y SDOS 12/19;49078.61;NULL
1;2020;39;10;21323185;CARGAS SOCIALES Y SDOS 12/19;1678.84;NULL
1;2020;39;11;21323301;CARGAS SOCIALES Y SDOS 12/19;3357.69;NULL
